T,D,S,phi_cvar,l_tds
0,1,EVT_53,-1.7462298967929613e-11,-1.7462298274040225e-11
0,1,EVT_54,-5.820766091346741e-12,-5.820766091346741e-12
0,1,EVT_55,-5.820766091346741e-12,-5.820766091346741e-12
0,1,EVT_56,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,EVT_57,-2.3283064365386964e-11,-2.3283064365386964e-11
0,1,EVT_58,-0.0,0.0
0,1,EVT_59,-2.3283064365386964e-11,-2.3283064365386964e-11
0,1,EVT_60,-2.3283064365386964e-11,-2.3283064365386964e-11
0,1,EVT_61,0.0,0.0
0,1,EVT_62,-1.1641532356165829e-11,-1.1641532182693482e-11
0,1,EVT_63,-2.3283064365386964e-11,-2.3283064365386964e-11
0,1,EVT_64,-1.7462298274040225e-11,-1.7462298274040225e-11
0,1,EVT_65,0.011887198511976749,0.011887198511976746
0,1,EVT_66,-1.7462298967929613e-11,-1.7462298274040225e-11
0,1,EVT_67,-1.7462298274040225e-11,-1.7462298274040225e-11
0,1,EVT_68,-1.7462298274040225e-11,-1.7462298274040225e-11
0,1,EVT_69,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,EVT_70,0.030057799772475847,0.030057799772475836
0,1,EVT_71,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,EVT_72,-0.0,0.0
0,1,EVT_73,-1.7462298274040225e-11,-1.7462298274040225e-11
0,1,EVT_74,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,EVT_75,-1.7462297233206137e-11,-1.7462298274040225e-11
0,1,EVT_76,-5.820766091346741e-12,-5.820766091346741e-12
0,1,EVT_77,-0.0,0.0
0,1,EVT_78,-2.3283064365386964e-11,-2.3283064365386964e-11
0,1,EVT_79,-1.7462298274040225e-11,-1.7462298274040225e-11
0,1,EVT_80,-1.1641534958251043e-11,-1.1641532182693482e-11
0,1,EVT_81,-1.7462298274040225e-11,-1.7462298274040225e-11
0,1,EVT_82,-1.7462298274040225e-11,-1.7462298274040225e-11
0,1,EVT_83,0.0014443198777734714,0.0014443198777734714
