N,T,D,v
6,9,1,0.9618247542535496
6,9,2,0.9936246797316637
6,9,3,1.0058739428019516
6,10,0,0.972901846169208
6,10,1,1.0174140892185326
6,10,2,1.0112894576833884
6,10,3,0.9589734510924428
6,11,0,0.972901846169208
6,11,1,1.0174140892185326
6,11,2,1.0112894576833884
6,11,3,0.9589734510924428
6,12,0,0.972901846169208
6,12,1,1.0174140892185326
6,12,2,1.0112894576833884
6,12,3,0.9589734510924428
6,13,0,0.9720513136626048
6,13,1,0.9611151094644148
6,13,2,0.9638491605139631
6,13,3,1.0140876454914098
6,14,0,0.9753777573897272
6,14,1,0.9644415531915378
6,14,2,0.9671756042410856
6,14,3,0.9619656419710187
6,15,0,0.9753777573897272
6,15,1,0.9644415531915378
6,15,2,0.9671756042410856
6,15,3,0.9619656419710187
6,16,0,0.9753777573897272
6,16,1,0.9644415531915378
6,16,2,0.9671756042410856
6,16,3,0.9619656419710187
6,17,0,0.9753777573897272
6,17,1,0.9644415531915378
6,17,2,0.9671756042410856
6,17,3,0.9619656419710187
6,18,0,1.0368235365975884
6,18,1,0.9811169495210466
6,18,2,0.9838510005705936
6,18,3,1.041890306430238
6,19,0,1.0174140892185326
6,19,1,1.0174140892185326
6,19,2,1.0112894576833884
6,19,3,0.9589734510924428
6,20,0,1.0272461432867548
6,20,1,0.9654149246750686
6,20,2,0.962680873625521
6,20,3,1.0274813373532026
6,21,0,0.9589734510924428
6,21,1,1.0174140892185326
6,21,2,0.9589734510924428
6,21,3,0.9589734510924428
6,22,0,0.9599468225759749
6,22,1,0.9599468225759749
6,22,2,0.9599468225759749
6,22,3,1.0336059688883463
6,23,0,0.9599468225759749
6,23,1,0.9599468225759749
6,23,2,0.9599468225759749
6,23,3,1.0336059688883463
7,0,0,1.0352197554578746
7,0,1,1.0352197554578746
7,0,2,1.0352197554578746
7,0,3,1.0352197554578746
7,1,0,1.0352197554578746
7,1,1,1.0352197554578746
7,1,2,1.0352197554578746
7,1,3,1.0352197554578746
7,2,0,1.0352197554578746
7,2,1,1.0352197554578746
7,2,2,1.0352197554578746
7,2,3,1.0352197554578746
7,3,0,1.0352197554578746
7,3,1,1.0352197554578746
7,3,2,1.0352197554578746
7,3,3,1.0352197554578746
7,4,0,1.0352197554578746
7,4,1,1.0352197554578746
7,4,2,1.0352197554578746
7,4,3,1.0352197554578746
7,5,0,1.014266631772464
7,5,1,0.9546155091031612
7,5,2,0.9551218736619541
7,5,3,1.0206980163647275
7,6,0,0.9575335767830861
7,6,1,1.0220988464443201
7,6,2,1.0156674618520565
7,6,3,0.9551062787906595
7,7,0,0.9575335767830861
7,7,1,1.0220988464443201
7,7,2,1.0156674618520565
7,7,3,0.9551062787906595
7,8,0,0.9575335767830861
7,8,1,1.0220988464443201
7,8,2,1.0156674618520565
7,8,3,0.9551062787906595
7,9,0,0.9601878263943311
7,9,1,0.9581623681591596
7,9,2,0.9896555405801544
7,9,3,1.0025183097646808
7,10,0,0.9699282065742547
7,10,1,1.0156674618520565
7,10,2,1.009236077259793
7,10,3,0.9575335767830861
7,11,0,0.9699282065742547
7,11,1,1.0156674618520565
7,11,2,1.009236077259793
7,11,3,0.9575335767830861
7,12,0,0.9699282065742547
7,12,1,1.0156674618520565
7,12,2,1.009236077259793
7,12,3,0.9575335767830861
7,13,0,0.9683877692649492
7,13,1,0.9586785772952366
7,13,2,0.9611058752876656
7,13,3,1.011957866379351
7,14,0,0.9720973647376544
7,14,1,0.9623881727679424
7,14,2,0.9648154707603709
7,14,3,0.9602190146045427
7,15,0,0.9720973647376544
7,15,1,0.9623881727679424
7,15,2,0.9648154707603709
7,15,3,0.9602190146045427
7,16,0,0.9720973647376544
7,16,1,0.9623881727679424
7,16,2,0.9648154707603709
7,16,3,0.9602190146045427
7,17,0,0.9720973647376544
7,17,1,0.9623881727679424
7,17,2,0.9648154707603709
7,17,3,0.9602190146045427
7,18,0,1.0371818786975857
7,18,1,0.9814752916210439
7,18,2,0.9839025896134717
7,18,3,1.0425554015873548
7,19,0,1.0156674618520565
7,19,1,1.0156674618520565
7,19,2,1.009236077259793
7,19,3,0.9575335767830861
7,20,0,1.0262083417968368
7,20,1,0.9640703701280313
7,20,2,0.9616430721356031
7,20,3,1.0264435358632846
7,21,0,0.9575335767830861
7,21,1,1.0156674618520565
7,21,2,0.9575335767830861
7,21,3,0.9575335767830861
7,22,0,0.9592157741431763
7,22,1,0.9592157741431763
7,22,2,0.9592157741431763
7,22,3,1.0328749204555476
7,23,0,0.9592157741431763
7,23,1,0.9592157741431763
7,23,2,0.9592157741431763
7,23,3,1.0328749204555476
8,0,0,1.034458635205473
8,0,1,1.034458635205473
8,0,2,1.034458635205473
8,0,3,1.034458635205473
8,1,0,1.034458635205473
8,1,1,1.034458635205473
8,1,2,1.034458635205473
8,1,3,1.034458635205473
8,2,0,1.034458635205473
8,2,1,1.034458635205473
8,2,2,1.034458635205473
8,2,3,1.034458635205473
8,3,0,1.034458635205473
8,3,1,1.034458635205473
8,3,2,1.034458635205473
8,3,3,1.034458635205473
8,4,0,1.034458635205473
8,4,1,1.034458635205473
8,4,2,1.034458635205473
8,4,3,1.034458635205473
8,5,0,1.0122980675496878
8,5,1,0.952646944880385
8,5,2,0.9528585807972026
8,5,3,1.0190241807839266
8,6,0,0.9561829992467339
8,6,1,1.0207482689079679
8,6,2,1.0140221556737288
8,6,3,0.9540504298962824
8,7,0,0.9561829992467339
8,7,1,1.0207482689079679
8,7,2,1.0140221556737288
8,7,3,0.9540504298962824
8,8,0,0.9561829992467339
8,8,1,1.0207482689079679
8,8,2,1.0140221556737288
8,8,3,0.9540504298962824
8,9,0,0.9558186389320426
8,9,1,0.9549720952647722
8,9,2,0.9861705390437918
8,9,3,0.9996227655122688
8,10,0,0.9671039858280258
8,10,1,1.0140221556737288
8,10,2,1.0072960424394901
8,10,3,0.9561829992467339
8,11,0,0.9671039858280258
8,11,1,1.0140221556737288
8,11,2,1.0072960424394901
8,11,3,0.9561829992467339
8,12,0,0.9671039858280258
8,12,1,1.0140221556737288
8,12,2,1.0072960424394901
8,12,3,0.9561829992467339
8,13,0,0.9649598265335331
8,13,1,0.9564295491317217
