L_e,T,D,f_l
4,3,1,-0.036562400000037396
4,3,2,-0.036562400000037396
4,3,3,-0.036562400000037396
4,4,0,-0.036562400000037396
4,4,1,-0.036562400000037396
4,4,2,-0.036562400000037396
4,4,3,-0.036562400000037396
4,5,0,-0.08772848000017201
4,5,1,-0.08772848000017203
4,5,2,-0.10320128000017201
4,5,3,-0.072255680000172
4,6,0,-0.0675080000000374
4,6,1,-0.0675080000000374
4,6,2,-0.08298080000003738
4,6,3,-0.052035200000037383
4,7,0,-0.0675080000000374
4,7,1,-0.0675080000000374
4,7,2,-0.08298080000003738
4,7,3,-0.052035200000037383
4,8,0,-0.0675080000000374
4,8,1,-0.0675080000000374
4,8,2,-0.08298080000003738
4,8,3,-0.052035200000037383
4,9,0,-0.19542320000037391
4,9,1,-0.1335320000003739
4,9,2,-0.1490048000003739
4,9,3,-0.11805920000037393
4,10,0,-0.1448720000000374
4,10,1,-0.08298080000003738
4,10,2,-0.09845360000003738
4,10,3,-0.0675080000000374
4,11,0,-0.1448720000000374
4,11,1,-0.08298080000003738
4,11,2,-0.09845360000003738
4,11,3,-0.0675080000000374
4,12,0,-0.1448720000000374
4,12,1,-0.08298080000003738
4,12,2,-0.09845360000003738
4,12,3,-0.0675080000000374
4,13,0,-0.17045504000010467
4,13,1,-0.1085638400001047
4,13,2,-0.1240366400001047
4,13,3,-0.09309104000010468
4,14,0,-0.16034480000003737
4,14,1,-0.09845360000003738
4,14,2,-0.1139264000000374
4,14,3,-0.08298080000003738
4,15,0,-0.16034480000003737
4,15,1,-0.09845360000003738
4,15,2,-0.1139264000000374
4,15,3,-0.08298080000003738
4,16,0,-0.16034480000003737
4,16,1,-0.09845360000003738
4,16,2,-0.1139264000000374
4,16,3,-0.08298080000003738
4,17,0,-0.16034480000003737
4,17,1,-0.09845360000003738
4,17,2,-0.1139264000000374
4,17,3,-0.08298080000003738
4,18,0,-0.027436888888556502
4,18,1,-0.027436888888556502
4,18,2,-0.04290968888855651
4,18,3,-0.011964088888554773
4,19,0,-0.08298080000003738
4,19,1,-0.08298080000003738
4,19,2,-0.09845360000003738
4,19,3,-0.0675080000000374
4,20,0,-0.05689848888885565
4,20,1,-0.07237128888885563
4,20,2,-0.05689848888885565
4,20,3,-0.05689848888885565
4,21,0,-0.0675080000000374
4,21,1,-0.08298080000003738
4,21,2,-0.0675080000000374
4,21,3,-0.0675080000000374
4,22,0,-0.041425688888855644
4,22,1,-0.041425688888855644
4,22,2,-0.041425688888855644
4,22,3,-0.041425688888855644
4,23,0,-0.041425688888855644
4,23,1,-0.041425688888855644
4,23,2,-0.041425688888855644
4,23,3,-0.041425688888855644
5,0,0,0.003683
5,0,1,0.003683
5,0,2,0.003683
5,0,3,0.003683
5,1,0,0.003683
5,1,1,0.003683
5,1,2,0.003683
5,1,3,0.003683
5,2,0,0.003683
5,2,1,0.003683
5,2,2,0.003683
5,2,3,0.003683
5,3,0,0.003683
5,3,1,0.003683
5,3,2,0.003683
5,3,3,0.003683
5,4,0,0.003683
5,4,1,0.003683
5,4,2,0.003683
5,4,3,0.003683
5,5,0,0.007366
5,5,1,0.007366
5,5,2,0.0092075
5,5,3,0.0055245
